gene	T273_b16_Adr_PCW18	T318_b16_Adr_PCW21	T390_b16_Adr_PCW13	T40_b16_Adr_PCW17
ACTL6A-AS1	0	0	0	1
ACTL6B	15	15	17	12
ACTL7A	1	0	0	0
ACTL8	5	7	1	10
ACTN1	94	294	39	147
ACTN1-DT	3	5	0	3
ACTN2	60	149	6	65
ACTN3	6	6	1	8
ACTN4	4679	10000	165	1611
ACTN4-AS1	33	74	3	11
ACTR10	552	624	52	452
ACTR1A	170	169	24	139
ACTR1B	59	104	5	105
ACTR2	409	626	52	395
ACTR3	780	1109	61	817
ACTR3-AS1	90	107	7	150
ACTR3B	228	550	27	254
ACTR3C	281	562	16	363
ACTR5	72	106	8	79
ACTR6	154	152	12	120
ACTR8	155	164	14	130
ACTRT3	3	5	1	0
ACVR1	274	221	32	290
ACVR1B	130	150	33	131
ACVR1C	56	89	7	55
ACVR2A	372	306	54	324
ACVR2B	142	229	36	271
ACVR2B-AS1	0	5	1	6
ACVRL1	12	6	5	13
ACYP1	115	109	19	189
ACYP2	1324	2047	186	1668
ADA	35	79	5	51
ADA2	62	107	9	92
ADAD1	5	3	0	7
ADAL	69	45	9	79
ADAM10	1091	1647	123	1044
ADAM11	12	33	3	16
ADAM12	168	286	35	267
ADAM15	16	13	1	20
ADAM17	1515	2439	87	741
ADAM18	31	50	6	26
ADAM19	51	120	33	100
ADAM2	15	33	0	15
ADAM21	7	12	0	8
ADAM22	328	1097	101	784
ADAM23	328	689	62	483
ADAM28	12	41	27	44
ADAM29	39	73	7	34
ADAM32	126	209	9	151
ADAM33	9	24	7	24
ADAM7	17	14	0	12
ADAM7-AS1	161	230	26	116
ADAM8	6	9	2	11
ADAM9	552	1078	51	363
ADAMDEC1	3	4	1	0
ADAMTS1	105	98	19	64
ADAMTS10	95	130	32	164
ADAMTS10-AS1	0	7	1	1
ADAMTS12	8550	6426	175	793
ADAMTS13	72	134	11	74
ADAMTS14	22	43	13	20
ADAMTS15	18	30	7	23
ADAMTS16	27	64	15	50
ADAMTS16-AS1	4	5	1	4
ADAMTS16-DT	0	3	0	6
ADAMTS17	86	182	39	115
ADAMTS18	59	108	10	51
ADAMTS19	507	1238	176	3674
ADAMTS19-AS1	14	22	2	94
