	A26 (386C)	A30 (398B)	A32 (411C)	A33 (414C)	A34 (417C)	A38 (432C)	A39 (440C)	F66	F67	F72	F73	F78
SNRPN	246.0	274.0	175.0	534.0	217.0	137.0	118.0	387.0	238.0	152.0	372.0	358.0
SNURF	16.0	7.0	10.0	33.0	10.0	7.0	4.0	4.0	3.0	10.0	20.0	12.0
AC124312.1	33.0	7.0	14.0	46.0	43.0	35.0	8.0	11.0	4.0	15.0	65.0	68.0
AC124312.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWAR6	27.0	15.0	17.0	61.0	32.0	23.0	2.0	54.0	12.0	12.0	67.0	96.0
AC124312.3	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	7.0	0.0
UBE3A	2474.0	738.0	2121.0	2708.0	2825.0	3361.0	533.0	426.0	306.0	279.0	1561.0	523.0
LINC02250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP10A	24.0	0.0	3.0	11.0	2.0	0.0	6.0	27.0	8.0	4.0	30.0	0.0
AC016266.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC100836.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00929	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRB3	79.0	17.0	14.0	50.0	12.0	40.0	1.0	7.0	9.0	1.0	42.0	18.0
AC011196.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRA5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRG3	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
GABRG3-AS1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104002.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC104002.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021979.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021979.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OCA2	2.0	2.0	2.0	2.0	4.0	6.0	4.0	2.0	0.0	3.0	11.0	12.0
AC090696.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HERC2	2256.0	723.0	1535.0	2004.0	2095.0	2116.0	541.0	180.0	105.0	120.0	793.0	305.0
GOLGA8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8G	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8M	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC055876.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA6L7	1.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
APBA2	4.0	1.0	7.0	11.0	4.0	3.0	1.0	3.0	4.0	1.0	6.0	0.0
AC127522.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM189A1	76.0	45.0	150.0	55.0	168.0	162.0	11.0	0.0	0.0	0.0	2.0	2.0
NSMCE3	149.0	158.0	159.0	413.0	355.0	250.0	25.0	20.0	9.0	41.0	319.0	32.0
AC102941.1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC022613.1	610.0	262.0	122.0	97.0	316.0	1005.0	275.0	176.0	86.0	51.0	759.0	229.0
TJP1	2758.0	544.0	1131.0	1572.0	1664.0	1632.0	848.0	231.0	87.0	172.0	767.0	281.0
AC022613.2	104.0	62.0	15.0	64.0	40.0	109.0	18.0	9.0	0.0	15.0	23.0	6.0
AC111152.2	7.0	0.0	1.0	5.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0
GOLGA8J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC120045.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHRFAM7A	33.0	2.0	13.0	6.0	7.0	12.0	0.0	0.0	0.0	1.0	4.0	6.0
GOLGA8R	16.0	5.0	7.0	19.0	4.0	12.0	0.0	2.0	0.0	1.0	2.0	0.0
AC026150.1	11.0	0.0	1.0	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0
GOLGA8Q	8.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
GOLGA8H	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC026150.3	1.0	7.0	1.0	6.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0
AC091057.3	24.0	0.0	7.0	13.0	10.0	2.0	1.0	0.0	1.0	0.0	8.0	5.0
AC091057.2	29.0	1.0	13.0	9.0	3.0	48.0	2.0	2.0	0.0	2.0	24.0	8.0
ARHGAP11B	21.0	26.0	17.0	285.0	20.0	9.0	3.0	9.0	23.0	1.0	12.0	17.0
AC091057.6	17.0	9.0	74.0	188.0	17.0	45.0	8.0	1.0	7.0	6.0	32.0	7.0
AC091057.4	3.0	1.0	4.0	19.0	10.0	1.0	0.0	3.0	1.0	0.0	5.0	2.0
FAN1	283.0	145.0	292.0	655.0	355.0	349.0	61.0	32.0	24.0	21.0	167.0	72.0
MTMR10	507.0	142.0	291.0	261.0	489.0	440.0	127.0	47.0	22.0	49.0	191.0	59.0
TRPM1	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC009562.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
LINC02352	27.0	25.0	44.0	30.0	17.0	12.0	6.0	7.0	11.0	6.0	20.0	10.0
AC012236.1	179.0	56.0	73.0	79.0	133.0	91.0	31.0	3.0	0.0	3.0	11.0	0.0
KLF13	794.0	555.0	491.0	817.0	1002.0	1413.0	129.0	145.0	19.0	57.0	125.0	104.0
OTUD7A	124.0	59.0	122.0	125.0	230.0	218.0	47.0	0.0	0.0	3.0	13.0	3.0
CHRNA7	278.0	30.0	43.0	60.0	98.0	117.0	127.0	2.0	4.0	9.0	94.0	118.0
AC139426.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8K	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
GOLGA8O	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02256	1420.0	91.0	349.0	301.0	262.0	472.0	166.0	9.0	15.0	18.0	268.0	162.0
AC123768.4	12.0	2.0	4.0	10.0	3.0	3.0	0.0	1.0	0.0	1.0	3.0	0.0
AC123768.3	11.0	6.0	15.0	7.0	9.0	29.0	8.0	4.0	2.0	3.0	18.0	21.0
GOLGA8N	80.0	17.0	46.0	27.0	28.0	41.0	4.0	3.0	1.0	1.0	3.0	10.0
AC123768.2	1.0	1.0	0.0	2.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	0.0
ARHGAP11A	73.0	56.0	305.0	875.0	129.0	201.0	12.0	36.0	21.0	33.0	143.0	51.0
SCG5	189.0	89.0	44.0	39.0	24.0	83.0	120.0	107.0	17.0	14.0	414.0	5.0
AC123768.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC090877.2	1.0	0.0	1.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
GREM1	14.0	4.0	13.0	94.0	9.0	3.0	4.0	13.0	6.0	1.0	15.0	3.0
FMN1	799.0	197.0	753.0	898.0	851.0	1185.0	204.0	11.0	0.0	3.0	57.0	5.0
AC055874.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RYR3	1.0	3.0	3.0	12.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0
AC010809.3	2.0	4.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
AC010809.2	15.0	11.0	17.0	34.0	12.0	19.0	2.0	4.0	0.0	1.0	2.0	1.0
AC010809.1	4.0	4.0	15.0	4.0	4.0	15.0	1.0	1.0	1.0	0.0	0.0	2.0
AVEN	151.0	112.0	234.0	367.0	297.0	260.0	35.0	11.0	5.0	6.0	91.0	20.0
CHRM5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EMC7	1175.0	1282.0	1358.0	1885.0	1699.0	2561.0	576.0	321.0	228.0	183.0	1580.0	311.0
PGBD4	75.0	30.0	62.0	181.0	62.0	91.0	11.0	11.0	3.0	2.0	21.0	17.0
KATNBL1	1210.0	605.0	1057.0	2298.0	1292.0	1581.0	290.0	203.0	131.0	101.0	765.0	298.0
EMC4	1472.0	1418.0	2052.0	2317.0	2042.0	3171.0	755.0	411.0	298.0	194.0	2299.0	418.0
SLC12A6	441.0	127.0	178.0	362.0	260.0	279.0	99.0	54.0	20.0	55.0	183.0	76.0
AC079203.2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOP10	5881.0	4917.0	3549.0	11853.0	5626.0	6576.0	1935.0	1587.0	1208.0	600.0	6715.0	1482.0
NUTM1	4.0	1.0	1.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
LPCAT4	3848.0	1513.0	1926.0	3029.0	3561.0	4133.0	1044.0	231.0	96.0	157.0	977.0	259.0
GOLGA8A	275.0	128.0	232.0	358.0	596.0	159.0	43.0	18.0	21.0	12.0	23.0	64.0
GOLGA8B	170.0	125.0	160.0	285.0	333.0	216.0	61.0	7.0	7.0	16.0	18.0	84.0
LINC02252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GJD2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC087457.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ACTC1	1.0	0.0	2.0	3.0	1.0	0.0	0.0	0.0	12.0	3.0	14.0	1.0
AQR	621.0	263.0	675.0	1177.0	891.0	711.0	128.0	89.0	54.0	59.0	440.0	161.0
ZNF770	364.0	252.0	791.0	1385.0	762.0	858.0	85.0	183.0	104.0	72.0	363.0	284.0
AC114546.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC114546.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NANOGP8	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0
AC021231.1	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
DPH6	394.0	197.0	362.0	388.0	504.0	716.0	135.0	64.0	82.0	50.0	561.0	171.0
DPH6-DT	23.0	0.0	15.0	12.0	7.0	23.0	10.0	1.0	3.0	9.0	17.0	40.0
AC021351.1	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AC040918.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC087516.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC087516.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C15orf41	83.0	27.0	127.0	153.0	78.0	106.0	20.0	24.0	22.0	11.0	134.0	72.0
AC013640.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEIS2	81.0	6.0	7.0	167.0	15.0	46.0	2.0	21.0	5.0	5.0	23.0	14.0
AC078909.1	1.0	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AC078909.2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC068875.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMCO5A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC02345	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01852	25.0	7.0	13.0	26.0	37.0	14.0	6.0	9.0	2.0	2.0	14.0	15.0
AC087473.1	8.0	6.0	2.0	14.0	5.0	4.0	3.0	1.0	1.0	0.0	0.0	1.0
SPRED1	327.0	97.0	568.0	732.0	985.0	480.0	85.0	224.0	106.0	124.0	424.0	214.0
FAM98B	373.0	237.0	626.0	1487.0	887.0	722.0	89.0	128.0	73.0	91.0	417.0	91.0
RASGRP1	14.0	2.0	9.0	64.0	28.0	7.0	1.0	12.0	19.0	15.0	57.0	12.0
AC116158.1	2.0	1.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
AC116158.2	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
C15orf53	10.0	0.0	0.0	6.0	6.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
AC022929.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC022929.2	6.0	2.0	1.0	6.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0
AC013652.1	74.0	6.0	22.0	14.0	18.0	23.0	7.0	3.0	1.0	2.0	13.0	4.0
AC087878.1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC113146.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C15orf54	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013652.2	12.0	1.0	4.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
AC109630.1	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC022196.1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
THBS1	6766.0	1129.0	828.0	5784.0	2924.0	2145.0	808.0	173.0	51.0	231.0	499.0	193.0
AC037198.2	108.0	15.0	14.0	2.0	14.0	28.0	14.0	0.0	0.0	2.0	3.0	0.0
FSIP1	452.0	103.0	96.0	123.0	88.0	108.0	50.0	2.0	7.0	1.0	24.0	0.0
AC023908.3	23.0	6.0	22.0	41.0	34.0	26.0	1.0	0.0	3.0	0.0	4.0	4.0
GPR176	1.0	0.0	1.0	6.0	7.0	3.0	0.0	2.0	2.0	0.0	4.0	0.0
AC012377.1	4.0	3.0	6.0	17.0	3.0	3.0	0.0	1.0	0.0	0.0	3.0	1.0
EIF2AK4	707.0	262.0	1060.0	987.0	955.0	1305.0	141.0	122.0	63.0	84.0	455.0	141.0
SRP14	14366.0	10632.0	13211.0	34435.0	16022.0	20778.0	6818.0	4082.0	2704.0	1472.0	15314.0	2767.0
SRP14-AS1	274.0	121.0	75.0	195.0	123.0	204.0	67.0	22.0	4.0	11.0	137.0	33.0
AC021755.2	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
AC021755.3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BMF	193.0	16.0	29.0	38.0	119.0	107.0	91.0	24.0	2.0	18.0	52.0	13.0
BMF-AS1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BUB1B	18.0	26.0	179.0	590.0	84.0	182.0	8.0	22.0	43.0	18.0	141.0	32.0
BUB1B-PAK6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
PAK6	17.0	33.0	44.0	86.0	41.0	46.0	3.0	26.0	6.0	2.0	31.0	28.0
PLCB2	197.0	11.0	18.0	19.0	39.0	29.0	32.0	9.0	2.0	3.0	16.0	7.0
ANKRD63	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLCB2-AS1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC020658.2	2.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
INAFM2	121.0	49.0	79.0	125.0	230.0	104.0	36.0	29.0	5.0	4.0	72.0	12.0
CCDC9B	184.0	109.0	49.0	87.0	256.0	153.0	63.0	12.0	1.0	1.0	9.0	6.0
PHGR1	824230.0	210774.0	159568.0	132264.0	462116.0	619454.0	322651.0	16015.0	9871.0	6945.0	109704.0	20483.0
DISP2	803.0	185.0	112.0	73.0	233.0	253.0	53.0	60.0	5.0	18.0	47.0	28.0
AC013356.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KNSTRN	70.0	74.0	174.0	462.0	124.0	302.0	35.0	33.0	63.0	44.0	363.0	48.0
IVD	501.0	418.0	1458.0	1720.0	1411.0	1652.0	235.0	182.0	80.0	74.0	597.0	157.0
BAHD1	408.0	109.0	190.0	237.0	479.0	331.0	124.0	73.0	11.0	34.0	128.0	41.0
AC013356.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC013356.2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHST14	47.0	19.0	38.0	62.0	47.0	63.0	7.0	30.0	12.0	16.0	157.0	10.0
AC091045.1	16.0	1.0	1.0	5.0	3.0	8.0	0.0	1.0	0.0	0.0	5.0	1.0
CCDC32	804.0	332.0	540.0	1024.0	627.0	971.0	248.0	171.0	140.0	123.0	844.0	166.0
RPUSD2	140.0	120.0	303.0	404.0	400.0	501.0	52.0	74.0	45.0	29.0	383.0	82.0
KNL1	80.0	34.0	390.0	909.0	187.0	262.0	31.0	24.0	32.0	25.0	157.0	66.0
RAD51	13.0	11.0	39.0	36.0	24.0	25.0	1.0	6.0	8.0	4.0	17.0	5.0
AC012476.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RMDN3	436.0	342.0	610.0	852.0	946.0	1050.0	298.0	198.0	104.0	80.0	946.0	251.0
GCHFR	1262.0	1226.0	1298.0	4049.0	2384.0	3618.0	371.0	1584.0	1261.0	453.0	5840.0	1999.0
DNAJC17	665.0	351.0	374.0	920.0	703.0	727.0	224.0	127.0	81.0	54.0	703.0	159.0
C15orf62	8.0	5.0	11.0	26.0	16.0	31.0	3.0	5.0	0.0	3.0	20.0	8.0
ZFYVE19	514.0	306.0	211.0	580.0	451.0	632.0	194.0	115.0	81.0	56.0	365.0	73.0
PPP1R14D	4848.0	2467.0	2335.0	2695.0	2775.0	5429.0	2328.0	49.0	17.0	56.0	357.0	112.0
SPINT1-AS1	3549.0	1968.0	1647.0	2774.0	2157.0	3563.0	1109.0	479.0	267.0	174.0	1860.0	216.0
SPINT1	9920.0	3519.0	2974.0	3016.0	5627.0	8940.0	3079.0	1250.0	667.0	590.0	4649.0	980.0
RHOV	940.0	543.0	205.0	1622.0	493.0	397.0	309.0	37.0	11.0	29.0	357.0	5.0
AC025166.1	2.0	4.0	2.0	8.0	3.0	0.0	4.0	2.0	1.0	1.0	3.0	1.0
VPS18	210.0	92.0	169.0	223.0	360.0	349.0	89.0	61.0	9.0	50.0	172.0	80.0
AC020661.1	4.0	2.0	5.0	4.0	0.0	7.0	1.0	3.0	0.0	0.0	1.0	1.0
DLL4	2189.0	209.0	275.0	383.0	222.0	485.0	395.0	53.0	4.0	87.0	292.0	54.0
CHAC1	329.0	22.0	33.0	171.0	255.0	136.0	250.0	28.0	0.0	26.0	74.0	2.0
INO80	508.0	276.0	659.0	633.0	691.0	981.0	120.0	61.0	29.0	53.0	372.0	115.0
AC020661.3	34.0	0.0	2.0	23.0	0.0	2.0	0.0	1.0	3.0	0.0	1.0	0.0
AC020661.2	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INO80-AS1	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EXD1	14.0	1.0	1.0	9.0	5.0	3.0	0.0	1.0	0.0	0.0	7.0	0.0
CHP1	6377.0	3884.0	2080.0	5058.0	4870.0	5886.0	2439.0	310.0	152.0	102.0	609.0	167.0
OIP5	57.0	65.0	180.0	559.0	87.0	205.0	21.0	29.0	40.0	31.0	275.0	51.0
NUSAP1	181.0	132.0	659.0	3270.0	285.0	568.0	71.0	118.0	183.0	103.0	755.0	126.0
NDUFAF1	413.0	300.0	208.0	726.0	281.0	408.0	147.0	75.0	71.0	50.0	414.0	82.0
RTF1	2104.0	1266.0	1584.0	5277.0	2106.0	2410.0	813.0	765.0	486.0	267.0	2268.0	478.0
ITPKA	659.0	312.0	275.0	319.0	529.0	494.0	143.0	154.0	38.0	45.0	434.0	94.0
LTK	229.0	124.0	41.0	34.0	188.0	120.0	145.0	38.0	10.0	29.0	156.0	37.0
RPAP1	134.0	68.0	232.0	241.0	295.0	227.0	40.0	43.0	20.0	35.0	156.0	65.0
TYRO3	19.0	15.0	29.0	49.0	29.0	33.0	6.0	98.0	48.0	82.0	287.0	103.0
AC016134.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MGA	395.0	147.0	430.0	821.0	423.0	435.0	95.0	94.0	39.0	39.0	403.0	152.0
AC073657.1	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPKBP1	140.0	39.0	61.0	90.0	109.0	109.0	30.0	13.0	11.0	17.0	68.0	95.0
AC020659.2	5.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
JMJD7	6.0	0.0	3.0	0.0	8.0	12.0	3.0	0.0	0.0	2.0	6.0	1.0
JMJD7-PLA2G4B	31.0	6.0	11.0	9.0	22.0	14.0	13.0	2.0	3.0	1.0	9.0	7.0
PLA2G4B	3.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0
SPTBN5	64.0	25.0	9.0	8.0	5.0	45.0	27.0	1.0	0.0	1.0	3.0	0.0
AC020659.1	0.0	0.0	2.0	6.0	2.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0
EHD4	1619.0	726.0	698.0	1290.0	1817.0	1901.0	2169.0	245.0	56.0	102.0	510.0	79.0
EHD4-AS1	27.0	1.0	4.0	2.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0
PLA2G4E-AS1	28.0	4.0	10.0	12.0	21.0	7.0	4.0	3.0	1.0	0.0	4.0	11.0
PLA2G4E	0.0	0.0	1.0	1.0	2.0	2.0	0.0	1.0	2.0	0.0	5.0	2.0
AC039056.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLA2G4D	7.0	2.0	1.0	11.0	6.0	5.0	6.0	1.0	0.0	0.0	0.0	0.0
PLA2G4F	760.0	292.0	206.0	189.0	427.0	536.0	212.0	16.0	5.0	10.0	28.0	11.0
VPS39	715.0	170.0	427.0	302.0	566.0	635.0	172.0	60.0	23.0	51.0	234.0	86.0
AC036103.1	8.0	0.0	2.0	2.0	3.0	6.0	2.0	0.0	0.0	0.0	0.0	1.0
TMEM87A	2866.0	1384.0	2078.0	3507.0	2819.0	2985.0	652.0	485.0	347.0	254.0	1821.0	471.0
GANC	625.0	223.0	414.0	486.0	461.0	613.0	171.0	42.0	16.0	18.0	173.0	114.0
AC012651.1	35.0	9.0	7.0	18.0	13.0	18.0	16.0	3.0	5.0	4.0	17.0	6.0
CAPN3	36.0	21.0	21.0	11.0	25.0	26.0	23.0	18.0	6.0	135.0	269.0	203.0
ZNF106	1133.0	419.0	1158.0	1636.0	1112.0	1433.0	336.0	120.0	76.0	87.0	290.0	144.0
SNAP23	1900.0	643.0	831.0	2451.0	1371.0	1576.0	1159.0	272.0	180.0	205.0	1174.0	638.0
AC018362.1	4.0	2.0	4.0	33.0	1.0	5.0	1.0	1.0	3.0	0.0	2.0	1.0
LRRC57	492.0	227.0	463.0	730.0	510.0	564.0	130.0	101.0	60.0	56.0	324.0	98.0
HAUS2	380.0	117.0	326.0	634.0	439.0	487.0	86.0	53.0	40.0	48.0	262.0	66.0
AC018362.2	4.0	2.0	0.0	18.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	0.0
STARD9	86.0	10.0	21.0	149.0	31.0	36.0	26.0	8.0	23.0	5.0	36.0	6.0
CDAN1	65.0	39.0	91.0	124.0	144.0	98.0	18.0	19.0	9.0	12.0	52.0	32.0
AC090510.3	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0
AC090510.2	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
TTBK2	195.0	67.0	105.0	330.0	195.0	255.0	53.0	32.0	14.0	27.0	103.0	48.0
AC090510.1	5.0	3.0	6.0	10.0	2.0	5.0	1.0	7.0	5.0	2.0	8.0	1.0
UBR1	580.0	163.0	463.0	743.0	712.0	583.0	163.0	70.0	71.0	46.0	268.0	136.0
AC068724.3	2.0	3.0	5.0	5.0	2.0	0.0	2.0	1.0	1.0	3.0	15.0	4.0
TMEM62	310.0	164.0	337.0	436.0	498.0	617.0	135.0	59.0	19.0	34.0	360.0	102.0
AC068724.1	2.0	0.0	5.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0
CCNDBP1	1382.0	980.0	704.0	1206.0	943.0	1545.0	649.0	364.0	262.0	153.0	1315.0	264.0
EPB42	1.0	0.0	0.0	0.0	0.0	2.0	42.0	0.0	1.0	0.0	1.0	0.0
TGM5	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TGM7	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AC009852.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCMT2	74.0	33.0	66.0	145.0	130.0	136.0	21.0	11.0	4.0	9.0	33.0	26.0
ADAL	218.0	147.0	140.0	387.0	198.0	270.0	43.0	47.0	29.0	12.0	126.0	67.0
ZSCAN29	285.0	93.0	204.0	194.0	216.0	267.0	35.0	38.0	12.0	23.0	122.0	36.0
TUBGCP4	278.0	200.0	439.0	666.0	486.0	505.0	93.0	85.0	77.0	45.0	322.0	72.0
TP53BP1	416.0	142.0	451.0	849.0	723.0	558.0	157.0	116.0	55.0	85.0	474.0	101.0
