	Adrenal	Thyroid	Spleen	Thymus	Liver	Skin	Stomach
ACSF3	15.961088616120392	33.53277014268187	31.993709826083744	11.864959811391955	23.33853183083403	33.304379168332474	24.593119080532993
ACSL1	-29.26085822374462	-15.533887452391795	-25.4612671635618	28.58252420068483	-4.284638283267796	-12.247714361735945	-4.349891598448508
ACSL3	20.771500784513634	11.844596063611533	38.37947263494262	23.115662478457082	21.161318779576035	31.125598519731746	1.8473855882783283
ACSL3-AS1							
ACSL4	6.537634954771363	17.803093610780593	12.292475902747796	20.864572020621907	26.384329042538198	22.07995507549486	9.116713911741215
ACSL5	7.480634011908144	-20.888525820741037	-19.135046455776447	-7.6280288290690095	-31.417649269935808	10.63361879761549	-35.961589472006295
ACSL6							
ACSL6-AS1							
ACSM1	61.34006452951799	53.536217303822944	42.20151828847481	30.546809171138413	-10.238315939808977	30.21457880782663	0.17048352860077998
ACSM2A	8.028381622840788	5.691535077683227	30.219077657488707	21.659497095214867	-19.84292253819632	16.710049071901004	5.581900412110899
ACSM2B	0.00488328938372888		18.442588014662007	8.386402367925374	-15.46111225306808	14.823981224663966	3.5408617932403503
ACSM3	76.88316295124511	81.39349060966981	84.05053660586698	62.786859885774334	-5.577190254163483	37.77612526186495	-9.101707232223177
ACSM4	8.186170212765957	16.596677795360353	22.585457335265534	16.418512871109517	17.651867148511442	20.92169831448688	8.027965284474446
ACSM5	-6.256371501453248	-18.150612666579566	1.3817702521349027	19.562292582294376	-46.02496250747131	5.164364550082432	-12.651893481427095
ACSM6	33.63480995692316	51.6046277665996	53.989429716136726	43.05614956109849	44.08202527217874	34.657563473437165	30.847021577542897
ACSS1	43.16834932814421	1.0672041346631715	5.070714989246014	-2.234742663991426	16.71106020646981	12.315065838548271	-10.974625353083638
ACSS2	-5.788692712649379	7.2449125616294054	8.964350061261172	60.96738573771873	7.113979833200872	-1.3027945963933547	-12.122325783388277
ACSS3	-0.14576820026104542	44.79492277832022	72.58606036881206	77.9697161307103	12.831196966107484	79.09346230514909	75.97298304184412
ACTA1	5.227657887325542	67.30311537958875	73.47308488612836	59.22427416105582		9.642774194182394	15.398932148070603
ACTA2	-47.356324578520486	-31.849311719661088	-14.564240053042099	-19.167877541423863	-51.111818703627684	-12.006760458844767	-1.0467627407107898
ACTB	-38.88206585394806	-14.404418522799318	-9.75058948775606	-10.555397743109381	-22.412488020424746	-6.688232381587795	-5.7495410453287406
ACTBL2							
ACTC1	3.597926116015161	55.74505326426333	53.07173846040456	12.766942851635946		13.571812445795459	-34.05153577158225
ACTG1	-52.438785448271005	-26.71267368110354	-23.47724454340333	-23.391886187080672	-46.40847299149055	-18.02605350678337	-16.74021397493783
ACTG2	-69.41979695839795	-42.24310084500094	-17.157480477293205	14.683891009641943	-69.46391406629355	-55.09704284033984	-0.07613996389611088
ACTL10			-17.4900161867722		-20.486393452129697		
ACTL6A	-11.230545712638893	-18.198727483378647	-8.28287376633827	-20.63545856516238	-6.0118833167880155	-10.609478299747565	-9.571678360833658
ACTL6B	7.207174781644483	8.113682092555333	13.023102852914578	8.659704586260139	19.818181818181817	3.7647798398500263	23.958828689994668
ACTL7A		0.0044776787713249454					
ACTL7B							
ACTL8	5.571944907478299	58.568038328930285	14.875117210808966	12.577054414829924	12.091830079568677	27.48026456155323	11.083414938128728
ACTL9							
ACTN1	-14.679923114912327	-9.808799668695414	0.07093289464630459	6.886389048953831	2.2673739808765276	-0.4781838055814944	0.04235055146597233
ACTN1-DT		2.0194331258675504	17.93046928916494		7.712824100389139	11.812679744173069	20.90054755454304
ACTN2	49.66648188776803	98.61744515385723	91.81229221720228	91.8113932152763	42.43694017462497	73.43289950928099	-14.9805223154682
ACTN3	3.088792255852164	60.24716786817713	30.704969738300232	40.08534243652656	14.84608619173263	27.126093449967996	12.710962310474347
ACTN4	-0.05843941937476416	0.13525954366085102	-0.7731186747557501	16.837151124711838	-1.558847790287345	-3.6304965552001534	-0.8777922524790682
ACTR10	-3.325518403239272	-5.373362799258629	3.203357354784302	53.37989202796345	-0.3767488315708363	-0.269034683791034	-3.0958950362327187
